ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2012,11,18,0,36,Estádio Governador Magalhães Pinto,Paulo Henrique de Godoy Bezerra,Atlético-MG,Atlético-GO,Cuca,Jairo,3,20,22600000,3250000,28.2,27.3,2,2,1,2,10,0,17,17,16,17,0,6,2,2,21,7,9,5
2012,12,2,0,38,Estádio Governador Magalhães Pinto,Paulo César de Oliveira,Atlético-MG,Cruzeiro,Cuca,Celso Roth,3,8,23100000,15300000,28.1,28.9,3,2,1,1,3,7,10,12,10,10,3,5,1,1,18,15,10,8
2012,6,6,3,3,Estádio Adelmar da Costa Carvalho,Leandro Pedro Vuaden,Sport Recife,Palmeiras,Vágner Mancini,Luiz Felipe Scolari,10,14,4150000,16850000,28,27.1,2,1,1,1,11,1,16,14,14,15,1,7,6,0,18,7,7,4
2012,7,15,0,9,Estádio Adelmar da Costa Carvalho,Evandro Rogerio Roman,Sport Recife,Portuguesa,Vágner Mancini,Geninho,12,15,5250000,5500000,27.2,27.9,2,1,1,0,4,4,17,15,14,16,3,1,0,5,10,9,6,4
2012,7,21,6,11,Estádio Adelmar da Costa Carvalho,Paulo César de Oliveira,Sport Recife,Atlético-MG,Vágner Mancini,Cuca,12,1,4550000,25600000,28,28,1,4,1,1,1,2,14,8,6,14,4,1,0,1,9,16,5,5
2012,9,9,0,23,Estádio Adelmar da Costa Carvalho,André Luiz de Freitas Castro,Sport Recife,Cruzeiro,Waldemar Lemos,Celso Roth,18,8,3750000,17800000,27.1,28,2,1,1,1,3,8,16,15,15,16,2,7,1,2,18,15,8,7
2012,9,12,3,24,Estádio Adelmar da Costa Carvalho,Luiz Flávio de Oliveira,Sport Recife,EC Bahia,Waldemar Lemos,Jorginho,17,14,3600000,4800000,26.8,27.6,1,1,1,0,13,1,8,21,20,8,1,1,2,2,16,7,8,4
2012,10,27,6,33,Estádio Adelmar da Costa Carvalho,Jailson Macedo Freitas,Sport Recife,São Paulo,Sérgio Guedes,Ney Franco,17,4,4050000,65750000,27.3,26,2,4,1,3,7,3,12,12,12,12,2,2,2,1,15,9,5,5
2012,11,25,0,37,Estádio Adelmar da Costa Carvalho,André Luiz de Freitas Castro,Sport Recife,Fluminense,Sérgio Guedes,Abel Braga,17,1,3400000,27750000,27,27.2,1,1,1,1,4,6,21,9,9,21,4,2,2,0,9,13,3,4
2012,6,6,3,3,Estádio Beira-Rio,Wilton Sampaio,Internacional,São Paulo,Dorival Júnior,Emerson Leão,4,8,16450000,28750000,27.4,25.8,1,0,1,0,1,7,24,15,13,23,4,1,0,3,9,14,7,6
