ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,winner
2008,8,17,0,20,5,8,5,13,7,14,3,5,21000000,9800000,26.5,25.7,0.0,0.0,5,6,14,9,9,13,4,9,4,1,22,14,6,4,1
2008,8,24,0,22,5,25,5,17,7,22,4,17,21800000,6450000,27.1,27.2,4.0,0.0,5,2,14,17,15,13,2,3,1,0,16,14,10,8,1
2008,9,21,0,26,5,12,5,9,7,26,2,17,24250000,8300000,26.9,25.3,1.0,0.0,3,3,17,14,11,15,2,4,1,1,14,16,8,8,1
2008,10,29,3,32,5,21,5,19,7,28,5,9,19700000,9450000,27.5,28.5,1.0,0.0,9,3,9,15,15,8,1,4,1,1,19,8,12,5,1
2008,11,9,0,34,5,13,5,16,7,17,2,3,19100000,15650000,28.2,25.4,0.0,0.0,3,5,24,17,17,24,3,2,4,2,8,10,1,3,2
2008,11,23,0,36,5,26,5,15,7,29,5,20,17000000,5450000,27.6,26.3,2.0,0.0,7,3,19,24,23,18,4,5,1,0,14,16,5,7,1
2008,12,7,0,38,5,13,5,8,7,20,3,9,20800000,10950000,26.2,26.7,0.0,0.0,10,7,11,20,20,11,1,3,3,1,22,11,15,7,2
2008,5,18,0,2,6,12,6,15,8,25,17,16,17150000,2800000,26.8,24.6,0.0,0.0,4,7,11,8,8,11,4,3,2,2,14,17,6,10,1
2008,6,1,0,4,6,14,6,10,9,11,15,17,23300000,29100000,26.3,28.5,0.0,0.0,8,3,16,16,14,16,3,5,1,0,23,9,9,5,0
2008,7,20,0,13,6,27,6,14,10,15,19,13,19050000,8350000,26.4,28.8,1.0,0.0,9,4,16,14,13,16,1,2,3,2,12,4,4,0,1
2008,8,24,0,22,6,0,6,1,9,1,19,2,13050000,25250000,26.5,24.6,1.0,0.0,8,7,10,16,14,10,7,2,1,0,14,16,5,5,1
2008,9,3,3,24,6,17,6,12,9,13,17,8,13050000,9700000,26.6,27.0,1.0,0.0,6,2,12,18,18,10,1,3,5,2,20,12,9,8,1
2008,9,14,0,25,6,4,6,3,9,3,15,17,15100000,22300000,27.7,25.0,1.0,0.0,7,1,13,12,12,11,0,6,1,2,23,7,13,6,1
2008,9,28,0,27,6,2,6,17,9,22,13,18,15900000,6600000,27.4,27.3,0.0,0.0,5,8,8,5,5,8,4,7,1,5,18,14,7,6,0
2008,10,4,6,28,6,10,6,6,9,6,13,16,15100000,11100000,27.7,24.5,2.0,0.0,2,6,9,15,15,8,5,6,1,2,12,12,4,2,1
2008,10,25,6,31,6,28,6,7,9,7,13,14,11350000,8100000,27.5,24.7,2.0,0.0,7,5,11,11,11,11,2,2,3,1,27,11,13,5,1
2008,11,16,0,35,6,13,6,11,9,12,13,6,12450000,8150000,27.1,25.1,0.0,0.0,7,5,12,15,14,11,2,4,1,0,16,8,4,4,1
2008,12,7,0,38,6,8,6,2,9,2,14,15,13250000,5400000,26.8,25.8,0.0,0.0,4,7,14,7,7,13,1,3,0,0,13,7,7,6,0
2008,5,18,0,2,2,27,7,2,11,2,12,5,8350000,5300000,21.3,27.4,0.0,0.0,3,6,16,11,11,15,2,3,1,0,16,10,8,5,2
2008,6,1,0,4,2,3,7,5,11,5,19,2,12200000,23700000,25.2,26.5,0.0,0.0,2,11,22,10,10,22,3,0,3,0,4,9,3,4,2
2008,6,12,4,6,2,4,7,4,11,3,20,17,22050000,15050000,27.6,25.6,1.0,0.0,3,3,15,12,12,14,6,4,1,1,14,16,6,5,0
2008,6,29,0,8,2,14,7,8,11,6,20,16,9800000,15000000,23.0,28.1,0.0,0.0,7,0,17,12,11,17,1,7,1,0,25,4,3,3,0
